Student,Year,Math,English,Science
Student_1,2021,66,79,61
Student_2,2021,63,91,93
Student_3,2021,82,66,97
Student_4,2021,76,61,70
Student_5,2021,66,83,90
Student_6,2021,83,99,75
Student_7,2021,85,81,86
Student_8,2021,67,71,88
Student_9,2021,76,79,96
Student_10,2021,63,69,60
Student_11,2021,97,92,65
Student_12,2021,68,93,92
Student_13,2021,70,95,83
Student_14,2021,98,94,92
Student_15,2021,98,65,63
Student_16,2021,86,99,66
Student_17,2021,61,91,78
Student_18,2021,91,84,74
Student_19,2021,71,79,88
Student_20,2021,92,94,75
Student_21,2021,100,85,70
Student_22,2021,63,96,85
Student_23,2021,100,75,86
Student_24,2021,61,66,63
Student_25,2021,74,91,81
Student_26,2021,71,94,97
Student_27,2021,85,94,97
Student_28,2021,68,61,70
Student_29,2021,87,98,95
Student_30,2021,79,99,65
Student_31,2021,80,81,95
Student_32,2021,65,61,70
Student_33,2021,83,98,66
Student_34,2021,93,82,78
Student_35,2021,84,60,77
Student_36,2021,76,71,69
Student_37,2021,79,71,86
Student_38,2021,78,72,78
Student_39,2021,68,73,88
Student_40,2021,76,61,85
